"Gene","Module","GS","MM.MEcyan","MM.MEsalmon","MM.MEblue","MM.MEbrown","MM.MEpink","MM.MEyellow","MM.MEmidnightblue","MM.MEblack","MM.MEgreen","MM.MEpurple","MM.MEgrey60","MM.MEturquoise","MM.MEred","MM.MEtan","MM.MEmagenta","MM.MEgreenyellow","MM.MElightcyan","MM.MEgrey"
"SRSF9","yellow",0.129223151203716,-0.37518671473857,-0.508773479376845,-0.440219029713575,-0.289488856512987,-0.510040572290737,0.51810504485676,0.0669003389190746,-0.313304284643288,0.153429489580492,-0.185194084080105,0.287949492255266,0.116748522092151,0.479348237910734,0.471989648507003,-0.0834836872965415,0.220819303199285,0.290843213390917,-0.248820122929798
"ABCF1","tan",0.108682911285026,-0.307452095075874,-0.443358500483621,-0.275819065066526,-0.0383326750843985,-0.297669895114664,0.174222003903856,0.0740282120132246,-0.453471369373774,-0.210336991304645,-0.410804035085692,0.447630138196513,0.57411477439834,0.558602409218674,0.698844893285761,-0.156265271192359,0.271379455211893,0.294737603373175,-0.0951134644954345
"DAD1","tan",0.291990956121338,-0.35700838238288,-0.633739203814628,-0.526407973815125,-0.119126073400256,-0.390288325517141,0.535621524898432,-0.271743834418654,-0.334643192669305,0.069511056675874,-0.191542860092355,0.191007711914621,-0.0052128812457202,0.510071848038891,0.620313227789731,0.0640762846622841,0.571465003881608,0.43612628243312,0.112907710502705
"YY1","green",0.00295149894710755,-0.207273408350841,-0.085318409171897,-0.214653845043101,-0.370791990674197,-0.290844772316967,0.529724247225168,0.43175160532473,0.588376933206907,0.824918794014993,0.630501248561829,0.113579551099888,-0.517590044659498,-0.247266196546137,-0.32622607728912,-0.0505850371083231,-0.193402368355889,-0.150279921821969,-0.465396384946708
"JTB","yellow",0.259879486500327,-0.25072522114268,-0.60432280479254,-0.434338124888476,-0.240471135468072,-0.400230608016218,0.454542132044162,-0.174171327841954,-0.312997642599245,0.0672714516338505,-0.202132593259278,0.244261245783926,0.0705432124532464,0.48649782549139,0.56317771313572,0.100619203170457,0.519595271844792,0.327520739605894,-0.0342224149117594
"KAT7","red",0.0335140868175285,-0.227917776029676,-0.371380279691287,-0.262945746109546,-0.102365610856893,-0.291829958538616,0.0464974345570753,-0.0300217441173875,-0.522554305610032,-0.350146359037858,-0.526690222123933,0.366859493022982,0.473211580662914,0.564085171787112,0.592566870753259,-0.139979442842398,0.339612138183178,0.178892374205059,0.0827338423104268
"ZNF146","green",0.123185851722746,-0.183268754246774,0.117226468252814,-0.296582279160776,-0.231466422397151,-0.108774176698207,0.437966800045,0.437016122362,0.714965409810833,0.775549915311803,0.521622623330791,0.187710168314925,-0.407165879132822,-0.195761804556459,-0.384740656665192,-0.0763758824940807,-0.320339795012374,-0.346588951533292,-0.29803058261194
"SART1","turquoise",-0.146011748186453,-0.0452556683873914,-0.0524201063838483,0.221756217977329,0.020287490674328,0.0229167046397911,-0.359323927304537,-0.130804112203229,-0.592277159625464,-0.58324980020854,-0.432347676215902,0.0687897078266167,0.638589306427979,0.262539402835538,0.43760966808252,-0.0816561723774233,0.099631212964384,0.320331582312081,-0.0123395905103628
"ILF2","turquoise",0.111114431010869,-0.411552559351885,-0.188091987608869,-0.470702398123135,-0.443339228011843,-0.529553763440814,0.268837369669342,0.613058359415284,-0.126187302243274,0.148797454488182,-0.258444392758981,0.635552108669001,0.583124795821523,0.549141124613278,0.382219613778719,-0.499303930642524,-0.180035498080309,-0.126368361524127,-0.437914162865209
"SPAG7","turquoise",-0.0603915742928494,-0.23964801476893,-0.253590534547389,-0.0409997107974781,-0.237579172107468,-0.334292244512631,-0.0672795897937107,0.0677709680918706,-0.501777382169382,-0.314347414915351,-0.371950575488013,0.215979468975773,0.562651491694052,0.385301717827641,0.458442485391128,-0.166600352631813,0.151256797127636,0.222344025876927,-0.186795851310954
